TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
f02fefff,fffffef1,45cb9620,3430d3a8,811c0a34,29e3464b,280c10da,2526d505,3a609081,870c9b20,508101e4,50182c60,00000000
10bfffff,fdfbfff2,e417a23c,748994a3,8c285298,dab3c68e,1b3cc039,a1488595,3a610a23,63901f60,6d298305,11935068,00000000
205fedff,fffffff2,43060a10,7cc86344,46113ca0,d282c4d1,855460c8,d3e85307,34548a03,e603980c,68a0d448,0f983480,00000000
305fffdf,fffffef2,41059824,0c404304,c897421c,98728904,923c2cb8,b5014c11,0860d112,c6880532,58e0b203,4e893044,00000000
4107ffff,fff7fff1,a6480b44,64a21306,4ea34480,f97347c8,a33ca112,92e5090d,2c50d984,650a243c,44d1c2e8,47954064,00000000
50dfffef,effffff5,084a1f3a,20c19305,d011204c,f223a68c,903a8109,a40a4b24,525cf871,08d0a226,4c7a7407,12962a80,00000000
60afbfff,fffff7f3,e80aa12a,2480b308,4b952230,59840711,193c84c2,13690d9f,3e6918a3,43cd9926,4c8a8328,8b102c30,00000000
700ffeff,7ffffff3,6489341c,4c713065,c4922654,88e2c2c9,980a7028,c0e48f12,262c6851,a8c11804,40e0a305,0918247c,00000000
00effffe,bffffff5,cb4f0b42,44e0c52d,90a31c2c,8183090b,1a443ce1,62a89699,1c652a32,44092546,a10233a8,0c2036a4,00000000
103fffff,ff77fff1,a689ac38,502842e2,c5a52690,c9540509,95326909,e3264318,34609110,a18e1628,64c1c225,cd103254,00000000
2079ffff,fffffff1,e6029230,59008247,83a60c21,0a236946,a73a6d49,b1c60897,30504163,27c82f3c,90c905a4,490e2c74,00000000
3007f7ff,fffffff0,a48c0414,6c294043,ca142418,b912a7cf,193c84f1,93824411,24909830,45078936,89213286,8aaa327c,00000000
403ffdff,ffdffff1,890c8426,64c2a381,14103454,719186ca,89324109,94460b0a,1a8ca981,08099c22,18c86084,49174070,00000000
504befff,fffffff2,068d9a6c,64398441,848a3874,b093a603,1a0a50a2,250a4718,26347962,29040d32,4c620406,cb19366c,00000000
606f7fff,fefffff3,078d1a40,58c1c3e8,10a42888,d194264e,254e9502,0543c488,34203a21,65101730,48c94369,0f212874,00000000
700defff,fffffff2,cb0c8204,28605204,0d0d0a0d,49c46915,1d3a6ce2,21a59024,327c9840,e5019b1a,78915426,0d16386c,00000000
000bffef,fffffff3,430ca330,313830c7,d0050c10,ba0301c9,92225cd9,416792a9,366080d2,a6449d1c,4c99c3c4,0f123470,00000000
107fdfff,f7fffff2,e1498a24,64c9f3c7,49072a24,91a36615,9f5290c1,0122488b,387d49a1,a385953e,950994e4,cd125278,00000000
20bfffff,fffdffe2,264a1138,64b30305,0993346c,5113068f,1d184cc9,f3e55514,2830c241,a64b9c22,80d97527,85983884,00000000
306fffff,ffbbfff0,e3859334,b5415285,060c3480,50a24387,10467502,14661621,3a6080a0,e20b9232,5c80e2e6,87194480,00000000
405fdfef,fffffff1,8190963a,583a8248,11932038,c995064f,0f3454e9,92a88394,22202993,04849930,48a12304,c69b3080,00000000
506effff,ffbffff0,e7881448,8091f569,d6a62268,b234480d,151a74b1,32e74f18,241d51d2,234d993a,51323368,d0172440,00000000
602dffff,fbfffff2,e246a43c,60898222,08903684,6b06268e,253c6100,a346c89e,3690b820,c14a193c,6111038a,592922a4,00000000
702bf7ff,fffffff4,860d0c32,0c9273a1,81131428,b142aa09,263a90b1,a324cf14,24603931,654b9636,44d97345,4b06485c,00000000
003f6fff,fffffff3,660a1a22,2511b348,cb94221d,5ab26656,1e265521,a367111c,3678a9a4,2544a332,40c1a425,cd985024,00000000
102ff7bf,fffffff1,684a8d28,2c9993c5,59a42461,0213a7d2,a7407cf9,d04a511f,2c8d51b4,a5ce1f28,54782204,96933470,00000000
20beffdf,fffffff2,820a213c,20d30248,12873a95,0b23c608,982c8c59,b1cc1293,4698f201,468d234e,ad09c3e8,8e152a48,00000000
303fffff,fffdbff0,63910512,209281e9,88133424,51c3294e,115480a1,b3465016,26585a23,a6902540,44b960e6,95103670,00000000
403fff3f,fffffff4,274c1e10,6c30d125,cc30224d,4a0483c8,04289d68,c3868923,1c542a61,e4cb1340,44d13509,0f9c3868,00000000
504effff,fffbfff2,26028622,54914244,030b3030,a1d4240c,22224111,f2e54e9a,14607832,c1c59d20,5d01e369,d3823c7c,00000000
600fbfbf,fffffff2,a24c9720,1ca8c245,0e110450,da03254b,940e3cc9,70a60c8f,2a143032,610f0838,690073a8,91a22844,00000000
70ffffff,fffb7ff3,66d0962c,a888b145,cf183464,810446d4,22387481,22054ba9,3844c203,0508104a,44c15285,c89d2478,00000000
