TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
32ae0f8e,eff557b4,66cb972c,79317389,cd17408c,e1c2c64c,224c6cd1,63c6909a,2c98da30,00000000,00000000,00000000,00000000
423dc68f,df05eff2,e7d21428,4511e3c7,cd934674,c184e74d,20306101,f4241113,3e60fa00,00000000,00000000,00000000,00000000
52fc74af,f47d5ef4,460c2252,61022427,5721426c,c9b4468f,a94e6cca,1469cc9a,48795980,00000000,00000000,00000000,00000000
6318dcd7,ecac7ff4,074c1a3a,80c9f307,4faa4871,01f3460d,a3447cf2,84068e26,42614a00,00000000,00000000,00000000,00000000
72c5347f,6f723ff5,6a0e1832,60b9c3a8,50195464,f313e7cf,205670fa,14c6501b,34913200,00000000,00000000,00000000,00000000
025809bf,bfd4eff2,e5c99028,4cfa03c5,4ea14270,d9d2264d,1e2a4521,22c4ce20,44711130,00000000,00000000,00000000,00000000
12e64bb3,fe65fb75,09111452,791224c7,cc9d407c,f9f4a68f,985c5cd1,84c68f21,2a795ac0,00000000,00000000,00000000,00000000
22563f1e,dfd627f3,86471c1e,5c69b1a7,88142e60,d904454d,a02e64b1,32e5899a,263cb990,00000000,00000000,00000000,00000000
33395eec,f5d877f3,880d1b40,7cd9b406,942a5280,fab34891,9f3e6cd9,e40714b4,487932c0,00000000,00000000,00000000,00000000
42d6f0dd,7ce9f7b3,054b2f40,68d9a247,4f203469,3a030890,ab484d61,3386d298,56808230,00000000,00000000,00000000,00000000
52a7121d,fff53fb4,27529442,7d0205e7,502a5a50,da84a80b,aa427521,94498f13,2e84d290,00000000,00000000,00000000,00000000
62b2c3ef,fadd55f2,e68d1f3a,591283aa,0c2c6899,0a03860b,18307cd1,93a6d0aa,5888d1b0,00000000,00000000,00000000,00000000
729fdf6b,bc11f793,e6909232,488192e6,ca953268,f9c3844a,922c6491,5485499e,2044ca00,00000000,00000000,00000000,00000000
029147ef,f9eb35f2,684c9c46,64f12485,11a85050,d193a78a,1f347caa,23c84aa9,44a4f190,00000000,00000000,00000000,00000000
12dea77f,f8773393,27099a28,a499a306,d1a63a5d,6a8409d2,9a3a8961,33a5d119,46717a80,00000000,00000000,00000000,00000000
22c0e7bf,de4f3bb3,85ce1948,693a4448,d41e5298,c1f489cd,9b2684d1,a3060d22,3098da70,00000000,00000000,00000000,00000000
32393fde,ecf3a6d1,a54b981c,54f17244,079e30a0,da43658a,103c4c99,11c5490e,30448a50,00000000,00000000,00000000,00000000
4290b43f,fbb5feb5,08099748,4cdac227,4c9c3e79,3183078d,193e5cc1,e3c78d9a,2480a110,00000000,00000000,00000000,00000000
52934ddd,fffb29a3,2a0ca030,61592225,4f1f286c,91f2c70e,a0224cf2,52e50d11,3c78c9a0,00000000,00000000,00000000,00000000
62e7b02f,ef763bf4,4656a236,64b9a3ab,12993860,d983a68c,993678b9,95a68c9b,44891aa0,00000000,00000000,00000000,00000000
72bdb05c,f5f9aff2,860b183c,88e16287,ca983a71,124306d2,19388cd2,44294d1e,409501b0,00000000,00000000,00000000,00000000
02a0c7ef,3f7773b3,4550264c,50e93487,d11c3065,09c3680a,9d4868a9,73051614,489ce960,00000000,00000000,00000000,00000000
1317f90f,3f5b6db4,27159b40,60d99469,92a9346c,e9c3e6cc,983094d9,8325d09f,4074e180,00000000,00000000,00000000,00000000
2304316f,b8bff7f2,c8cb2832,5cd17406,51a34a64,d9830752,a13094ea,26658da2,32a50a70,00000000,00000000,00000000,00000000
32dad365,ea79ff73,c74d2030,a0f9b306,4ba53468,d9a3458b,19346509,c5068ea2,54b0d190,00000000,00000000,00000000,00000000
42b03abb,6ff75df2,880c1b50,5159a467,0da53258,e992a60c,962874c9,b505501d,3460a290,00000000,00000000,00000000,00000000
530e59ad,fdbea9d4,86501542,816203a9,d02548a9,69c48812,15468109,a38a8ba0,2c8cc190,00000000,00000000,00000000,00000000
