Truncated,Nbuf,NBXc,Cond1,Cond2,Cond3,Cond4
0,0,25,0,0,0,1
0,13,25,0,0,0,1
0,26,25,0,0,0,1
0,39,25,0,0,0,1
0,52,25,0,0,0,1
0,65,25,0,0,0,1
0,78,25,0,0,0,1
0,91,25,0,0,0,1
0,104,25,0,0,0,1
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
1,127,25,1,0,0,0
0,116,25,0,0,0,1
1,129,25,1,0,0,0
0,118,25,0,0,0,1
1,131,25,1,0,0,0
1,120,25,1,0,0,0
0,109,25,0,0,0,1
1,122,25,1,0,0,0
0,111,25,0,0,0,1
1,124,25,1,0,0,0
0,113,25,0,0,0,1
1,126,25,1,0,0,0
0,115,25,0,0,0,1
1,128,25,1,0,0,0
0,117,25,0,0,0,1
1,130,25,1,0,0,0
0,119,25,0,0,0,1
1,132,25,1,0,0,0
1,121,25,1,0,0,0
0,110,25,0,0,0,1
1,123,25,1,0,0,0
0,112,25,0,0,0,1
1,125,25,1,0,0,0
0,114,25,0,0,0,1
0,127,1,0,0,0,1
0,116,1,0,0,0,1
0,105,1,0,0,0,1
0,94,1,0,0,0,1
0,83,1,0,0,0,1
0,72,1,0,0,0,1
0,61,1,0,0,0,1
0,50,1,0,0,0,1
0,39,1,0,0,0,1
0,28,1,0,0,0,1
0,17,1,0,0,0,1
0,6,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
