TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11
a069c119,a003c20f,a205c504,a1e34083,a0424216,a1418015,a0864018,a2820b87,a021423d,a488cd00,a4ee0e81,a2614108
a2aa038f,a2a8c406,a08053a5,a0264908,a2014307,a0a0000b,a6400087,a2e0c580,a020808d,a140c781,a0a24a8b,a0478300
a004419f,a5614781,a6228f01,a0620a87,a6e68086,a025030f,a106080c,a125080c,a4014013,a063080f,a0044007,a4ce828c
a4018283,a0e04185,a025d611,a042819a,a3028383,a0a68281,a1214210,a0000100,a121c108,a062062f,a3901b90,a2260105
a1c38126,a1030539,a3090584,a1008887,a1000d08,a1e2832e,a0414b85,a165c20e,a0e0c002,a320cc04,a0e20b06,a7a1c583
a506c29d,a167cc03,a2c00d83,a2c885a0,a1c64000,a020c106,a0e1448d,a0280481,a0421021,a0678811,a4a341a0,a000818e
a2a30727,a1a48704,a0e4420b,a000ca8c,a000cf81,a1200c82,a0510409,a0494387,a1414284,a0c00398,a0a04981,a1414733
a1a05087,a4c28994,a3214392,a00a862f,a5024e93,a2434090,a0278e08,a22f028d,a2a140ab,a2a10495,a405439f,a0430507
a2a1df00,a0618312,a12a8b87,a1080502,a1068980,a1874784,a0408005,a3a602ba,a300c5c5,a401048a,a045c38a,a0600300
a0808093,a1084083,a2e28614,a040c583,a284c885,a460c394,a162828e,a12e8691,a181cf05,a0c14eb4,a0820084,a5e4420d
a0154326,a0404383,a1211293,a2400682,a6034603,a0494d26,a021422e,a0410888,a5450807,a2604096,a1400103,a069c201
a042c10a,a1e4c284,a1414224,a0000902,a06ac192,a0e8190a,a222840c,a0a0818b,a1214700,a021c607,a1e2c10c,a02c0006
a1c04180,a001428a,a1088500,a161c308,a30244b5,a1610100,a0c5c819,a2610a83,a5a74082,a3c00000,a06c4485,a0e98f06
a1040530,a0a00097,a3601482,a2820585,a0e39101,a065c382,a2c04583,a2654d01,a5e1010d,a0255316,a2220088,a3410624
a20e0409,a0e24382,a280061d,a820c490,a1260e88,a064494b,a18081af,a2224085,a280cd06,a0220491,a3c1848e,a0838587
a0c5c390,a1a00691,a0e3030e,a200462e,a021c6b2,a1c2c583,a2814795,a0888006,a1ae8f01,a0264487,a0828302,a2c54d8e
a001c580,a1200a06,a1e34413,a1e10488,a023ca8f,a365400c,a081830e,a301c289,a1c10495,a043c481,a0231608,a161408d
a4619c1b,a0950589,a40ac01c,a0e0c106,a06b5308,a344c4a9,a1a08b01,a060c289,a000c487,a040499b,a085cf9c,a021033b
a2228c00,a0010282,a0204a07,a1e44618,a1e21701,a122c891,a3208048,a20532a3,a0840012,a7a30593,a1260488,a2804488
a1058781,a3e54022,a1804205,a0c2050c,a1444501,a1404481,a147000e,a26098be,a384c092,a2e20094,a043868a,a5e083a6
a0868198,a0c81883,a0448002,a26283ac,a164ca03,a0c04284,a0638980,a1054583,a54f8111,a1c4c0aa,a4a60b84,a00a4f19
a24c8b0c,a122cca0,a182c788,a1a5018b,a0004909,a02002c5,a060058e,a0040017,a2820808,a0608393,a160c352,a183c181
a106060a,a1811983,a3250786,a100478e,a180800a,a2a14e89,a0e28380,a1ebc80b,a0015680,a4260919,a0c84902,a1e0ca08
a1608381,a1414400,a004ab80,a05fda80,a041059a,a008820b,a2854587,a30540a8,a1634d0a,a06151bd,a220140a,a2818490
a200ce1b,a22a060c,a2254282,ab240284,a287400d,a1c00b25,a3e103a1,a008403e,a2e0ca8b,a087c007,a04008b1,a286c203
a0e84081,a1e38000,a0ac870a,a0814586,a0218a07,a1010201,a0078202,a0228daa,a0008280,a0e04107,a100ce80,a4018a08
a020c011,a0a10383,a204c68b,a1414880,a2278588,a042801d,a100879b,a940cb9b,a0875607,a3248487,a1a18928,a0e00402
afe04601,a040c888,a0834f83,a233472a,a021c01f,a2e60786,a0240021,a0c5c5c6,a3764800,a1008186,a0441786,a3288104
a1e1570c,a860081f,a0a29d07,a000c409,a1a20504,a0011810,a0e4c495,a081c380,a442029a,a0e20d04,a2608110,a182c084
a0a80284,a360c28a,a06ac081,a1828184,a003010c,a1254586,a2028807,a2414589,a1004019,a0450aa0,a1828f9a,a007c580
a0808009,a16b8381,a1e2a4f1,a3000119,a021c092,a7634402,a0cd4b03,a240149f,a1400500,a0a7db02,a061c183,a2076491
a00e4a81,a3c00196,a3205286,a0c6c493,a0e1010f,a0299284,a4024094,a140d614,a048c482,a046d520,a0434183,a0a29600
a521c205,a3a10401,a224ce97,a10ec809,a1a0c003,a524c10a,a145830a,a2e08a92,a0c108a2,a0808209,a4824606,a3a2c915
a100d7bf,a126c787,a5c1c287,a0004d1e,a160060c,a1e00905,a080000a,a420880a,a0c2489d,a0a48600,a420cb10,a129c21a
a2e14488,a2430197,a3844608,a6241281,a0220806,a7e102af,a0424505,a003c691,a4654284,a1a24004,a201c00c,a2a4c780
a38f0314,a3848f19,a282c504,a4051723,a0200488,a0e04107,a0724417,a0449419,a0828217,a0e10c0f,a281c002,a1c18489
a3800187,a06996da,a3829083,a3474183,a3e04396,a2235f30,a420090a,a220c081,a121838a,a4a34013,a0a34007,a0284412
a122c387,a2220183,a127c300,a4c24682,a5640501,a0a0c7a8,a0a24381,a2e4c180,a4a44091,a0011283,a027c805,a2a50090
a0604082,a0e2070d,a0401795,a0e1d488,a260460c,a126c615,a4e1c806,a281a303,a0a18a8a,aa350186,a1878488,a2eaca83
a005008e,a0e0c08b,a0e10730,a0c14202,a0662696,a380048e,a0a38681,a0254e28,a263c800,a2a0040d,a0024003,a420499e
a0408780,a3604703,a221c5a3,a4a14683,a101078c,a0c04013,a082038d,a22180a9,a04ec017,a2084501,a404c103,a085429b
a2814609,a1448102,a028840a,a0818287,a084c385,a0044417,a0846284,a041078f,a0c18711,a0011383,a2a0c189,a2210893
a266ca83,a043c980,a044820c,a284838c,a144039d,a022c001,a1675330,a04385bc,a22041b4,a1408018,a04107ab,a0004096
a4a58004,a3028681,a0834003,a1084d9e,a1a18219,a5230511,a127c885,a1a48205,a042d206,a2640302,a4a4060f,a045c902
a0a20b20,a240cc8d,a364461a,a0010406,a0044181,a100c087,a165c484,a0804b12,a1410382,a060c010,a501041a,a4e5010a
a2e1c485,a0c08816,a12a0700,a0301193,a163cb85,a0c38318,a064d60f,a201c009,a0400393,a3635187,a0e0040d,a3820f94
a0404b89,a1c44585,a3210503,a0284291,a6a50400,a120810d,a0224609,a0821683,a0998807,a2420280,a0604490,a062c609
a1210108,a080894e,a0f1ca0e,a1e74182,a142c187,a442408d,a0030605,a3048e8a,a0030483,a3a04683,a2e3481f,a1e14d83
a3c28102,a1c00189,a0c3408f,a06c861d,a0e0c680,a025c00a,a228008f,a0e0cb86,aa040083,a00d4c0d,a0a08805,a5644600
a1414c84,a6468880,a1619a80,a16ec184,a321408e,a0048688,a4618c8c,a4238683,a0c28e82,a0c04206,a10c122c,a0c2000a
a022808a,a1662945,a1010c84,a0824b83,a3a54482,a188c203,a066c800,a003c9a3,a1414390,a000c301,a5e14085,a0c18084
a441c00e,a121069b,a1818191,a0400501,a0408d22,a1c0c18f,a1e45200,a5210997,a0c04100,a5028202,a0410d9b,a443410b
a0248086,a1034100,a1a547b4,a0e0868e,a1000519,a4c14000,a0e18308,a2a40009,a162c401,a3230684,a021e289,a0e04e88
a4a5c084,a1010086,a1020d80,a3430984,a1e24212,a4c04f81,a0c44203,a044e499,a0c41587,a412c587,a5a10b83,a1ebe481
a8c00b06,a0c1cb03,a1038510,a2a11393,a18405a3,a0000d02,a7c70095,a2204338,a0c50e27,a0c0c703,a1870607,a004d889
a1249688,a1228a14,a540c613,a023df81,a26a4085,a0e25111,a045d009,a0250c01,a4a6c582,a003d207,a3230e0d,a100c191
a28f8e0f,a020c0a5,a1000014,a0445e98,a222c006,a14981a7,a7c58083,a0638404,a0000088,a4c08e86,a040c1a0,a5030012
a0404102,a043c880,a1e55f89,a1b18807,a0338804,a1804298,a1630186,a12012a2,a0805007,a4210083,a2978b98,a04009c0
a3a00f85,a3008820,a1238484,a060c387,a1845693,a0e14302,a16302a4,a0014084,a2860307,a083470e,a24e0508,a002ca0b
a000001f,a220c103,a0019587,a380038d,a0cf8388,a2218000,a042cb0a,a161418b,a200c38b,a801400f,a049cb01,a200cc02
a1a74302,a242c981,a0e8410b,a066c79f,a1614213,a243c519,a0a0839b,a0204c07,a0620301,a3e04084,a1864e00,a16f0607
a023893d,a0c44292,a2018599,a061830b,a22681b6,a0a3d917,a0818891,a1608c04,a52fc2a8,a08bc114,a0a00513,a9c2858e
a08dc381,a4e24581,a0c0c394,a3001181,a329031b,a1c380ad,a021482e,a083840b,a1a00c23,a06142ad,a0c19483,a0830403
a0c04889,a2028295,a1024293,a3e0c108,a0224425,a0274003,a0404105,a1400793,a100cf8c,a203499d,a145c68d,a1014801
a121400b,a0028d98,a6a08111,a0880828,a003011d,a081c98f,a0a10580,a1488884,a1600189,a0204604,a086410f,a004c081
a0a30e8f,a5e005ac,a18f8518,a0424181,a0024290,a5004582,a0ab408a,a0c20c29,a4a4c002,a003011b,a4640588,a1018183
a3228311,a0028382,a1009d89,a001c084,a0cc8328,a4268718,a12944a2,a20a8d26,a6c1c319,a3204680,a2411296,a0058411
a0c04781,a0e1c6a6,a2c9d006,a30340a3,a0420189,a102480d,a2a08204,a2600480,a5a7888a,a0220081,a1818590,a080c908
a0608194,a029c0b3,a381008f,a1204505,a0c0420c,a1e10702,a02a440d,a1240205,a380498e,a0049c9c,a2208189,a9a44603
a4a60e04,a0008890,a001848a,a206409f,a2009203,a0cbc48f,a0c2c088,a6208283,a249ca0e,a5628983,a3a38a11,a5800f08
a5c95597,a08741a6,a1604180,a2810081,a1a00020,a0a35393,a165849f,a4604503,a0208d80,a0808290,a0608010,a0638082
a1a3c882,a0a54282,a1028203,a1a8078c,a1438986,a142471a,a4c84280,a3478000,a2e50202,a0928905,a1000313,a002861a
a0010504,a042860d,a4024ba9,a2a40413,a0010385,a0a04904,a0245280,a7230400,a2250191,a0a180c9,a0e38797,a1c60319
a0c4d426,a2008887,a2284089,a001899c,a1804c82,a0088203,a721410f,a760c3a1,a2254184,a182d2a3,a041438f,a0020827
a0848007,a120c688,a08a8216,a60280b9,a148050e,a0a06888,a1800788,a121410a,a5614b86,a4a1c886,a086410a,a2069b06
a143120f,a28c511d,a200cc80,a2c09185,a103222f,a066cc11,a3a1da80,a1014480,a12201b7,a5c20011,a061c81f,a1c3840d
a0c30e03,a06c8800,a141c309,a0a2c482,a280c303,a0660300,a0600288,a1a64580,a2e2c280,a0611780,a209c39b,a061c901
a0e1c312,a040418b,a2418706,a0420809,a200190a,a289c009,a241c50b,a0638106,a0604505,a2a08004,a0208182,a2e08320
a1600483,a0204492,a3a9080b,a3e24886,a0030b93,a0048215,a10041a6,a0410d80,a1c6993d,a0618483,a0420d05,a1028623
a040ce0d,a4604188,a1e2cba5,a1838887,a0e702ae,a0000c1d,a0c04783,a1814509,a24dc50f,a001c501,a144c387,a1a2050f
a3e28a80,a02dea00,a0e04284,a1c1c701,a0c58013,a026c40b,a021ce0e,a1c05180,a162d086,a0848985,a103068c,a2618216
a2828783,a0c38612,a201010a,a0a4c003,a1a00495,a003060b,a0610eab,a262437f,a063c915,a0040580,a485801f,a004c28c
a080801a,a0404103,a040871f,a2e04607,a181800e,a0c04201,a0eb8120,a1664c26,a34ac5b2,a0c28201,a0c042bc,a0840984
a2e2401d,a7204585,a4e4cc8b,a063c585,a002018a,a4008116,a2058003,a340cb97,a0634116,a064c389,a2810584,a1230088
a0624a85,a1e34e89,a5c14582,a9a04b12,a400c60c,a1640515,a0430416,a12b4800,a4654901,a8a2c000,a1a08909,a1c00102
a2248785,a1a25380,a760051b,a78bc191,a0405294,a160c60e,a1a10901,a1248181,a2e40701,a44e4c01,a3e14080,a20ac385
a003818f,a1260ea7,a162018e,a1c0028d,a0258b84,a6604592,a041c016,a0a10002,a0a6c088,a141d81c,a122030c,a0419416
a12c4c07,a68248a5,a1804094,a122908c,a074c783,a3600207,a1a98e14,a006cc20,a1274022,a020c489,a624c289,a101c187
a0604381,a025040e,a2014985,a3a18c12,a06001ae,a0aa430a,a0008b1a,a4804504,a1ce0285,a0494187,a2634001,a4208804
a0018382,a124c398,a000c18f,a1000401,a020c402,a2c1c28c,a5664311,a001c311,a2808b0a,a565038b,a2a20182,a3a68994
a0e20004,a101889b,a221c201,a260868d,a7014301,a0814221,a267818b,a4064507,a5670193,a1a14488,a0610809,a14d8816
a222cc16,a6030c98,a0c0c010,a426a618,a5610403,a1c20085,a2074f04,a0c2c703,a04101a9,a3e4430c,a3a00806,a3e1d384
a0e24885,a020478a,a5448b85,a02191bd,a000c00d,a021c2bb,a2a05019,a260c08c,a2220187,a0e70047,a0258311,a204c804
a044c183,a0614492,a0800492,a0440722,a0470d14,a0c3cc18,a1074a8f,a407470b,a0c2c135,a0601602,a04b8104,a26545a2
a3a50b84,a1c0899e,a0a20687,a6ec058f,a2860d91,a121810a,a3e1c500,a4618382,a06445b5,a0a0c186,a3e64000,a20bc224
a0e25c85,a280d195,a005530e,a00d0f9a,a0e6428a,a022038a,a5c0030f,a361c508,a607c08f,a1028511,a0274602,a0c00403
a000c702,a1440384,a0628d05,a006099b,a184c305,a3639081,a000c00a,a1e0112f,a300408f,a5e104c1,a3680005,a0c4c401
a161c096,a001c783,a0e08108,a021c388,a1614e84,a0ae800d,a0a09402,a2024b1a,a2a7c821,a2621201,a0424a9b,a1a5c200
a0028802,a065d210,a1a8ca81,a061031f,a1698618,a04400b5,a6a1400e,a122578b,a0c0c300,a3404021,a1824096,a1a24401
a0c04586,a0a3c13d,a0a24305,a1c11381,a1e6118a,a1230a11,a224c683,a0e39724,a0e24496,a0440d00,a1e40200,a24e8103
a2838e0c,a2054380,a1a15a90,a1c2c912,a1e88084,a02b0082,a5c1c610,a1251187,a02a4139,a061868a,a0a00625,a0411409
a2000080,a600c581,a000c10d,a2c00311,a0221f05,a0048003,a1208140,a262dd01,a0c2cd84,a32242c1,a0048308,a045c497
a06d4002,a0448394,a3228184,a1a10b05,a0a44686,a062d788,a7c2ca86,a2818612,a0028d8c,a0250580,a1a44611,a081410a
a0a6c28e,a5a88884,a1a2d911,a0a1200f,a1e74501,a0691007,a04203a8,a1229600,a020cc87,a023c1a8,a0284105,a0224113
a0a48608,a2108d87,a0a10324,a0614410,a0238305,a1200101,a2a28310,a0210708,a4a5cc02,a063008c,a2c0040c,a0004c27
a302c00b,a4e02a84,a1428683,a2a94001,a0a3ce27,a080c080,a0014617,a0a20c9c,a2869488,a1650508,a2e4d083,a0c08780
a0204289,a4424003,a1418fa8,a0814c0e,a1e08080,a0444684,a4624c84,a3610d9e,a2688f14,a0c10311,a0804603,a1c30681
a2680425,a3814704,a0a08781,a1e0030b,a1648006,a0a1879b,a16e489d,a0a44980,a0c0c512,a0a5048c,a2205289,a1210386
a0234399,a063d40c,a1410415,a3258109,a1001180,a3060d91,a7020283,a007438a,a1e6d605,a3e20305,a7220787,a1e14384
a040c301,a02b862c,a0c08d16,a2664005,a420c402,a1600911,a1e7c6a3,a14a4c0a,a003008d,a043428c,a0a10586,a0254880
a0e0d09f,a2a00184,a1034a04,a1824100,a363818a,a0288780,a1428800,a243cd92,a285c509,a0424608,a1408d83,a1c08705
a0008381,a3a3d780,a120c111,a0aa0d04,a0028783,a1020012,a4308e10,a100408c,a323800f,a1014486,a0044604,a162826b
a0229685,a1a5098a,a2220b0a,a04304a0,a0430005,a1610681,a0030b94,a2a74606,a1004607,a080c215,a3808119,a04901a7
a0030409,a0404c8f,a180c109,a3470703,a042cd0c,a2aacb2f,a2c68488,a0a00413,a7824684,a009c981,a005011f,a2624002
a5834201,a4a0c208,a129848e,a0284194,a001c283,a0632408,a040460a,a2604e88,a1e3c183,a4c50c93,a103c208,ae024380
a102c113,a0124184,a1c20d9a,a0a1c88b,a2c01485,a042068d,a540001d,a4264505,a0a2cb80,a202ca85,a005510e,a063c508
a2898581,a1880488,a2a0870f,a0c29496,a1e34b0b,a2058203,a00046ad,a061430a,a281c491,a3898280,a04b0800,a2a35b98
a4801698,a105c387,a1400082,a1e05005,a0a4c309,a0210683,a145c404,a2a00189,a002c088,a4404504,a1ae0f00,a0a05ea9
a002c104,a0a2088e,a0e75706,a12a0e8a,a02b8a05,a1e5cc85,a1a0c10f,a0a44009,a14347a6,a1870028,a0494282,a06a0591
a1634c1c,a1210082,a227cb02,a004c004,a1204f12,a260040a,a1a18218,a0030186,a182c080,a1844088,a2e10323,a1628387
a220ca11,a1270100,a0a00304,a0414189,a200c186,a7298c18,a040cd10,a0a1c506,a345c18c,aac31685,a962460b,a041c0c5
a1060d07,a1e3878d,a3010343,a6854100,a2061785,a30460ab,a0a2820a,a1c10788,a0034401,a1240702,a1898a02,a0618089
a000030f,a1080191,a181828c,a00d4087,a3838218,a0e25b09,a0c00782,a1a00489,a046c189,a0034129,a62214ad,a0430306
a2448c20,a2236b90,a2628180,a1800002,a187cb10,a0210708,a687c00c,a088809c,a0430401,a683ce05,a0014f86,a3a6818c
a3e0c60b,a1420496,a00a0284,a2a18395,a0254230,a0200111,a12241a5,a2408683,a0204d04,a64b8395,a3a34284,a1a28701
a20144af,a003c20c,a04d8617,a124818c,a1e20001,a0e28513,a100a68b,a36c121b,a3c10004,a164c283,a1804709,a6e44282
a2008983,a1a40201,a264c227,a2a104c3,a0c18028,a3c69217,a5c3c48b,a0c24301,a7424295,a2a20107,a163c500,a280c415
a0830ba5,a2400090,a2411081,a124821c,a4e88901,a263c409,a0241099,a7408215,a1819598,a1658116,a0e1cb15,a100c016
a1240e9f,a0e2d381,a1a00d95,a383900b,a1a20a0c,a0404e87,a0e04787,a040c340,a000ce0f,a2e18419,a1414100,a1a0e382
a1220283,a1ac4280,a1000b00,a1849282,a2824506,a180c688,a0844002,a060c58a,a0a14110,a0e00a09,a1260703,a0224502
90c400a0,9063892b,90278003,93840980,91c18380,9122c28e,91060989,94200732,91001489,90034382,916600a7,90014605
90c400a0,9063892b,90278003,93840980,91c18380,9122c28e,91060989,94200732,91001489,90034382,916600a7,90014605
a1c4c70c,a064189d,a461878b,a8628aa8,a1028b8e,a001fa84,a8820c00,a0218281,a304c400,a1a545a4,a1008300,a3e34214
a061c81b,a1c0c892,a12409a5,a5475284,a140c394,a0414005,a0468088,a4e083bd,a0c50012,a0818586,a001080c,a0814487
a0a0140c,a3200304,a5448d8a,a064410f,a003530f,a24c0880,a2274786,a0018499,a0214c8e,a22088b8,a183598a,a1130103
a022c315,a0c0121b,a165c099,a262179b,a1a0ca11,a0270482,a0a5834e,a0420620,a04f4182,a6848a18,a264d421,a260d701
a0c7818d,a1068206,a041c113,a201c2a3,a1a1c518,a080810e,a4c00d15,a0240095,a0004127,a0284215,a32382a5,a0e18587
a0224789,a0a84280,a3298286,a182131e,a1054f0b,a1ec0580,a0e0060b,a2209003,a080d011,a009d204,a1245c82,a0858499
a0638f0d,a022089a,a32a0681,a02a8380,a0420b08,a240108f,a0008b27,a001d511,a2c04714,a2604104,a102c201,a02d1897
a0008592,a0a387bb,a2c8408b,a22000a9,a123c804,a0414286,a0030404,a0e4c080,a0838b05,a401160d,a2828700,a0444112
a021c00b,a4430500,a127c108,a1438996,a3600981,a0c7800a,a183420b,a3a3408d,a360c189,a066470f,a1011508,a1620881
a066c635,a121c684,a0054716,a2430a05,aa40c680,a120c205,a6a34402,a0634a04,a001008b,a160c580,a430d100,a2a30702
a0e24900,a0a30301,a4a2c700,a003c481,a0e18408,a1804212,a3218780,a1038083,a1054000,a0c18187,a1b0e390,a141d0a2
a500c211,a041c792,a6200287,a0854a10,a4a2d996,a1030083,a0014091,a125c00b,a4224119,a085d986,a7240481,a207078a
a0c1871d,a6c61b83,a0401585,a0680298,a0c48521,a220c081,a081c08c,a5818414,a0e1c299,a3a40dba,a001c501,a1a2c684
a4020194,a1408903,a146c68a,a106c485,a0034190,a0c00084,a323c838,a2e08634,a0a5820a,a122c128,a1e04100,a2e04c82
a1020381,a1a20380,ab85448c,a0201603,ab02048e,a2e68087,a06e0288,a1014706,a1e0c544,a0004d90,a244c748,a087088b
a180c280,a480430f,a1c7d402,a060c603,a0264484,a040849b,a2428680,a0e20c10,a00a018e,a72000f0,a0e60b8e,a160c100
a0c2c080,a261810c,a2270492,a6a0c080,a36a0180,a0e2c316,a072428b,a264450e,a142c096,a2224381,a0edc981,a182041a
a001c081,a2410085,a100589f,a04c841d,a040021c,a1020491,a5018602,a1244488,a12109ca,a0430007,a540c404,a120ca97
a2028412,a0e24803,a0c48310,a000828a,a0828094,a0448499,a0e04036,a0a11100,a101d8c0,a24586a3,a0610600,a4868fad
a4a1c187,a3420e97,a141ce06,a42d458d,a422d90e,a1804481,a00c42e4,a2038180,a12042a5,a0c08092,a1a0cc0e,a0c38288
a1260411,a1404805,a000c2ba,a22e0184,a0e1c298,a0000782,a221c01c,a0604f0a,a0c2419c,a0a15b09,a3a0cc91,a31a8608
a1610303,a2e01e0e,a041dd02,a1e18709,a4a38781,a0070a01,a06a8016,a04ac480,a1450002,a2414186,a34307a9,a342c093
a042c501,a58208bc,a5a3c217,a2018704,a141c615,a0a20385,a160d9a8,a040810a,a1838312,a0854103,a0c18405,a0a35280
a0e20c81,a0288b11,a3038e32,a2638b85,a12a8204,a0c0910b,a1010601,a1664503,a5a0c617,a0838708,a44280ae,a282c043
a0238403,a042811a,a1a50087,a0218205,a1208485,a1a04306,a1220904,a0c14196,a1050711,a561c20f,a1a691a8,a2034491
a0670e01,a1420080,a1000425,a028c900,a0204011,a121cba2,a54007a1,a041048e,a440c101,a3e4490d,a2c70b14,a0824905
a3844794,a2c08704,a0004984,a1c30380,a42100b2,a102c08d,a1618118,a1c001d0,a0a1c787,a1c2ca13,a0ee8594,a349ce09
a0468382,a2a00d11,a0419182,a1040307,a123c1b2,a3074407,a1c18c04,a1050889,a1448585,a0a0800c,a182cb21,a3a2c219
a0894294,a064c881,a4c38315,a042cd0d,a1640199,a060c39b,a5120899,a1a78a80,a0840b94,a1434296,a3e40f80,a1e9c597
a326492a,a020819f,a0e20421,a0420188,a2320682,a1c38105,a0841315,a0c38197,a1e40e00,a1e24393,a0630407,a0c70685
a2800418,a283c214,a1600489,a281c001,a0e00002,a0e14082,a1204202,a5e986a4,a0610e01,a165c102,a0a0420f,a1c24d21
a3814c0c,a140020a,a0400389,a265400c,a180c283,a2e0c210,a049018b,a225c604,a2200089,a3e30703,a0c00288,a084c696
a2800383,a38042a0,a0420702,a066c113,a1274801,a0844d1b,a049c080,a084c581,a10701ad,a20b468b,a241db15,a0a10190
a380c224,a565c105,a0418102,a380478f,a683c0a4,a1e58213,a0c6020b,a4a00201,a2a0c490,a2a10708,a306c305,a983004f
a024020d,a4400aa5,a04dc286,a0e580ac,a2d0c58e,a0eb5e83,a0c49009,a4439232,a0e08e0a,a0c3002a,a0414903,a201c80c
a54184c5,a6814533,a0244207,a2ca4a16,a2608689,a52107b9,a3208b87,a0434081,a1e04189,a244cd81,a0228b1c,a3804054
a1878201,a221ca83,a2450b04,a200858a,a500c305,a082c082,a00b5114,a0230083,a3e24581,a20a400e,a2218814,a1838134
a1c14180,a2068289,a3a4810a,a0e5c792,a6e68029,a16fc714,a0604181,a4414601,a7c10000,a0634b89,a2c34a19,a1e28a0d
a7ecc283,a0e20180,a083c012,a001c536,a240ce81,a164158f,a1664405,a10fc180,a1a6c41d,a040d08a,a040128e,a3810f2b
a042490b,a3408705,a0648802,a0228489,a163d409,a002cc84,a0001009,a3410882,a22dc38a,a4c2089c,a0414302,a2e74101
a061c79e,a422030c,a0828389,a16088aa,a0230d81,a0435312,a209c902,a321c680,a0c74605,a1c60995,a400c187,a1014202
a04a0104,a021000f,a2200400,a0edc303,a069ca87,a1608a03,a640808d,a1c0c40e,a0a24116,a122490d,a081001a,a140c390
a0688207,a1804482,a3034609,a020068c,a8a00889,a88202a0,a2004084,a2c80101,a0098182,a0104285,a0034104,a1a0c189
a1a0cd0f,a164c49d,a1620781,a1e34102,a481048c,a303810d,a022450d,a1424d0b,a0034e21,a6240781,a1438209,a249c191
a3e8004c,a3c28206,a1a092b0,a1c3451e,a086c512,a0641004,a2054884,a0259004,a0238447,a201471a,a3a24221,a2c9cd8d
a325408a,a0c2cd85,a161451a,a1c8d785,a2024303,a3016d02,a0a9868d,a080c304,a1264713,a1834783,a108c59c,a2075203
a3834b8c,a0000116,a0c00784,a0c3818b,a381c780,a2240511,a0a36301,a1a58094,a0468783,a121040b,a2428193,a005c783
a1234d05,a0624014,a041130e,a22d0284,a16a418b,a0670085,a064819a,a047ce95,a1031408,a0240684,a180d10b,a2e78195
a0e4c58c,a3e28e06,a2c04481,a0c44207,a0458252,a620038a,a0c50b27,a0428b8a,a2a50487,a063440d,a4214018,a1c1c10d
a100c401,a265101f,a6a98000,a1e74005,a0e083b4,a1460f8c,a020c287,a280c58b,a001049a,a2220391,a2c5181c,a0a48720
a42644a2,a1445a82,a4400004,a202ce8a,a220478a,a0448293,a0824682,a0c5020e,a0624489,a0c38705,a1830299,a0cd019c
a0204012,a32881a1,a220c44f,a0c0c887,a160e106,a0e11582,a1690480,a225c021,a2610991,a0214596,a044c7a7,a5e0431b
a5408083,a2609005,a0604482,a0484280,a3c30b80,a3281803,a0208399,a3a30512,a2230525,a3440081,a2624300,a4e14101
a1024203,a2a40702,a0214902,a2220303,a0a2c2a0,a2058a86,a3018e06,a0600c08,a0a18106,a0a540ad,a1a20216,a0410082
a1e0c69a,a364d197,a0c05306,a4c28387,a0a38188,a9444981,a341ca13,a041c30e,a00e0284,a02483b1,a10146b4,a040060d
a1424228,a0c20302,a7a34409,a2c6c1a6,a321a385,a1c68113,a1a28181,a1c0820a,a025c099,a1240316,a0634111,a0820081
a0a29102,a0010102,a3a00288,a024070f,a2a08a01,a0400892,a042c017,a3e343b1,a1a2c905,a161c486,a10c4010,a3a7cf03
a0e5438b,a02a8191,a0654184,a0800407,a061000d,a141c21e,a148c080,a0c54fa7,a5424191,a121c01d,a0020a04,a3e3ca0b
a203c908,a0824c86,a2200305,a3044901,a0a5c704,a14dc486,a360c50d,a0c0c602,a3614401,a0209ca4,a0c2c58f,a3e20303
a3058384,a1028205,a4640902,a1a14205,a0d09b03,a0005b8c,a0230018,a0e20908,a6a34004,a282c880,a2ab8501,a0819493
a22b8581,a2610a0d,a2c04606,a1624786,a0e1d107,a20088a1,a0c0c40e,a0884406,a1230f86,a027c7fd,a4610095,a00a0093
a0e2801e,a2810087,a120011a,a2c15010,a0290382,a7a041a4,a1360f0f,a0c28a84,a3a30182,a400c421,a54084ac,a0cac080
a3e00601,a5e01808,a0a0c024,a0024b0d,a022c51b,a043c309,a0e1849b,a2010109,a1e1cd10,a0c10687,a120860b,a1848684
a0c88293,a4805981,a2a1cd05,a003c980,a1e74e01,a225c583,a22a0025,a1c64423,a6ac899b,a0258284,a2afcc80,a0e00918
a1448102,a240c111,a0008019,a520a684,a0c14218,a1868b84,a0818696,a1001b91,a0408094,a0c4cb09,a1a04010,a1808803
a0274607,a04e1605,a3b00195,a0418308,a080c1c9,a2a18008,a2c84100,a0e74714,a0224097,a2c6c415,a08888a0,a0a38226
a124c102,a0e288a6,a3a11b92,a1400b17,a1288809,a2c3dc9d,a281820a,a080401c,a1c1c581,a561c301,a1e18984,a164c304
a1c20780,a484030b,a1a20584,a0c0031a,a106cba5,a1828187,a023078b,a124cc85,a1204681,a2a08089,a1404398,a303c005
a1446217,a2238732,a266038f,a0e9c820,a0c39511,a382d08b,a1a3c286,a1820385,a0411702,a0c20a03,a1628905,a2e1d128
