Truncated,Nbuf,NBXc,Cond1,Cond2,Cond3,Cond4
0,0,25,0,0,0,1
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
1,27,25,1,0,0,0
1,24,25,1,0,0,0
0,21,25,0,0,0,1
1,42,25,1,0,0,0
1,39,25,1,0,0,0
1,36,25,1,0,0,0
1,33,25,1,0,0,0
1,30,25,1,0,0,0
